,Date,Petrol (USD),Year,Month,Day
697,2016-10-17,113.72,2016,10,17
698,2016-10-24,115.2,2016,10,24
699,2016-10-31,116.02,2016,10,31
700,2016-11-07,116.56,2016,11,7
701,2016-11-14,116.5,2016,11,14
702,2016-11-21,114.71,2016,11,21
703,2016-11-28,113.72,2016,11,28
704,2016-12-05,113.66,2016,12,5
705,2016-12-12,114.23,2016,12,12
706,2016-12-19,115.0,2016,12,19
707,2016-12-26,115.45,2016,12,26
708,2017-01-02,117.0,2017,1,2
709,2017-01-09,117.98,2017,1,9
710,2017-01-16,118.63,2017,1,16
711,2017-01-23,119.43,2017,1,23
712,2017-01-30,120.01,2017,1,30
713,2017-02-06,120.18,2017,2,6
714,2017-02-13,120.15,2017,2,13
715,2017-02-20,120.2,2017,2,20
716,2017-02-27,120.12,2017,2,27
717,2017-03-06,120.02,2017,3,6
718,2017-03-13,119.8,2017,3,13
719,2017-03-20,118.95,2017,3,20
720,2017-03-27,118.03,2017,3,27
721,2017-04-03,116.93,2017,4,3
722,2017-04-10,117.02,2017,4,10
723,2017-04-17,117.54,2017,4,17
724,2017-04-24,118.15,2017,4,24
725,2017-05-01,118.08,2017,5,1
726,2017-05-08,117.06,2017,5,8
727,2017-05-15,115.6,2017,5,15
728,2017-05-22,115.67,2017,5,22
729,2017-05-29,115.79,2017,5,29
730,2017-06-05,115.82,2017,6,5
731,2017-06-12,115.69,2017,6,12
732,2017-06-19,115.12,2017,6,19
733,2017-06-26,114.43,2017,6,26
734,2017-07-03,113.74,2017,7,3
735,2017-07-10,113.58,2017,7,10
736,2017-07-17,113.89,2017,7,17
737,2017-07-24,113.99,2017,7,24
738,2017-07-31,114.16,2017,7,31
739,2017-08-07,114.78,2017,8,7
740,2017-08-14,115.53,2017,8,14
741,2017-08-21,116.04,2017,8,21
742,2017-08-28,116.4,2017,8,28
743,2017-09-04,116.95,2017,9,4
744,2017-09-11,118.14,2017,9,11
745,2017-09-18,118.85,2017,9,18
746,2017-09-25,118.87,2017,9,25
747,2017-10-02,118.13,2017,10,2
748,2017-10-09,117.16,2017,10,9
749,2017-10-16,117.01,2017,10,16
750,2017-10-23,117.04,2017,10,23
751,2017-10-30,117.06,2017,10,30
752,2017-11-06,117.57,2017,11,6
753,2017-11-13,118.91,2017,11,13
754,2017-11-20,119.67,2017,11,20
755,2017-11-27,120.13,2017,11,27
756,2017-12-04,119.75,2017,12,4
757,2017-12-11,119.91,2017,12,11
758,2017-12-18,119.98,2017,12,18
759,2017-12-25,120.0,2017,12,25
760,2018-01-01,120.19,2018,1,1
761,2018-01-08,120.52,2018,1,8
762,2018-01-15,120.96,2018,1,15
763,2018-01-22,121.5,2018,1,22
764,2018-01-29,121.69,2018,1,29
765,2018-02-05,121.73,2018,2,5
766,2018-02-12,121.58,2018,2,12
767,2018-02-19,120.52,2018,2,19
768,2018-02-26,119.55,2018,2,26
769,2018-03-05,119.29,2018,3,5
770,2018-03-12,119.11,2018,3,12
771,2018-03-19,119.17,2018,3,19
772,2018-03-26,119.23,2018,3,26
773,2018-04-02,119.43,2018,4,2
774,2018-04-09,119.96,2018,4,9
775,2018-04-16,120.56,2018,4,16
776,2018-04-23,121.44,2018,4,23
777,2018-04-30,122.22,2018,4,30
778,2018-05-07,123.27,2018,5,7
779,2018-05-14,124.32,2018,5,14
780,2018-05-21,125.93,2018,5,21
781,2018-05-28,127.58,2018,5,28
782,2018-06-04,128.43,2018,6,4
783,2018-06-11,128.61,2018,6,11
784,2018-06-18,127.92,2018,6,18
785,2018-06-25,127.18,2018,6,25
786,2018-07-02,126.54,2018,7,2
787,2018-07-09,126.97,2018,7,9
788,2018-07-16,127.47,2018,7,16
789,2018-07-23,127.5,2018,7,23
790,2018-07-30,127.54,2018,7,30
791,2018-08-06,128.02,2018,8,6
792,2018-08-13,128.39,2018,8,13
793,2018-08-20,128.79,2018,8,20
794,2018-08-27,129.18,2018,8,27
795,2018-09-03,129.76,2018,9,3
796,2018-09-10,130.24,2018,9,10
797,2018-09-17,130.59,2018,9,17
798,2018-09-24,130.59,2018,9,24
799,2018-10-01,129.98,2018,10,1
800,2018-10-08,130.15,2018,10,8
801,2018-10-15,130.81,2018,10,15
802,2018-10-22,130.98,2018,10,22
803,2018-10-29,130.64,2018,10,29
804,2018-11-05,130.11,2018,11,5
805,2018-11-12,128.94,2018,11,12
806,2018-11-19,127.4,2018,11,19
807,2018-11-26,125.77,2018,11,26
808,2018-12-03,124.3,2018,12,3
809,2018-12-10,122.37,2018,12,10
810,2018-12-17,121.02,2018,12,17
811,2018-12-24,120.61,2018,12,24
812,2018-12-31,120.18,2018,12,31
